Titolo_Nota_Atomica,Testo_Nota,Autore_Citato,Opera_Citata,Pagine_Riferimento,Edizione_Riferimento,Sezione_Riferimento,Nota_Markdown
Datificazione come estrazione di valore,"Critica alla ""datificazione"" come estrazione di valore, vista come l'evoluzione della ""gabbia d'acciaio"" della razionalizzazione burocratica (Weber), ora gestita da algoritmi (Fisher).",Mark Fisher & Max Weber,Realismo capitalista / L'etica protestante e lo spirito del capitalismo,,,2.2 Materialità Digitale,"### Datificazione come estrazione di valore<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** [[Mark Fisher]], [[Max Weber]]<br><br>**Concetti Chiave:** Datificazione, Valore, Gabbia d'acciaio, Algoritmi<br><br>L'analisi della ""datificazione"" come estrazione di valore (Fisher) può essere vista come l'evoluzione della ""gabbia d'acciaio"" della razionalizzazione burocratica descritta da Weber, ora gestita da algoritmi.<br><br>> *Quello che dobbiamo tenere a mente è sia che il capitalismo è una struttura impersonale e iperastratta, sia che questa struttura non esisterebbe senza la nostra cooperazione.* (Fisher)<br><br>**Fonte:** Realismo capitalista / L'etica protestante e lo spirito del capitalismo"
"Caso ""Paragon"" e sorveglianza","Il caso ""Paragon"" in Italia come esempio delle implicazioni sociali e politiche della tecnologia di sorveglianza di massa e dei rischi per la privacy.",-,Articolo su Fanpage.it,,2024,2.2 Materialità Digitale,"### Caso ""Paragon"" e sorveglianza<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** -<br><br>**Concetti Chiave:** Sorveglianza, Privacy, Tecnologia, Controllo<br><br>Il caso ""Paragon"" in Italia è interessante per le implicazioni sociali e politiche. La possibilità di affidarsi alla tecnologia per un controllo definibile ""orwelliano"" è seriamente preoccupante per l'incolumità della nostra privacy.<br><br>> **Nota:** Fonte web, non è presente una citazione testuale.<br><br>**Fonte:** https://www.fanpage.it/politica/la-commissione-ue-parla-del-caso-paragon-nel-nuovo-rapporto-sullo-stato-di-diritto-inquietante/"
Resistenza culturale e memorie coloniali,"Il richiamo a pratiche e cosmologie pre-coloniali come forma di resistenza culturale e politica, ad esempio attraverso movimenti di possessione spiritica che sovvertono simbolicamente il potere coloniale.",Paul Stoller,"Embodying Colonial Memories: Spirit Possession, Power, and the Hauka in West Africa",,"Routledge, 2013",2.2 Materialità Digitale,"### Resistenza culturale e memorie coloniali<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** [[Paul Stoller]]<br><br>**Concetti Chiave:** Resistenza Culturale, Postcolonialismo, Memoria<br><br>Le forme di resistenza all'industrializzazione hanno radici profonde. In ambito postcoloniale, il richiamo a pratiche pre-coloniali è stato una forma di resistenza. L'antropologo Paul Stoller ha analizzato come il movimento Hauka in Africa Occidentale abbia incarnato le memorie coloniali per sovvertire il potere dei colonizzatori.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Embodying Colonial Memories"
Critica all'anarco-primitivismo,"Critica alle derive assolutiste dell'anarco-primitivismo (es. John Zerzan) che, criminalizzando la tecnologia in toto, entrano in conflitto con altre istanze di liberazione (es. tecnologie per le transizioni di genere).",John Zerzan,Futuro Primitivo e altri saggi,,"Nautilus, 2001",2.2 Materialità Digitale,"### Critica all'anarco-primitivismo<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** [[John Zerzan]]<br><br>**Concetti Chiave:** Anarco-primitivismo, Tecnologia, Liberazione<br><br>Il filosofo anarco-primitivista John Zerzan è uno dei principali teorici di una critica radicale e totale alla tecnologia e alla civiltà. Questa posizione non lascia spazio a una valutazione differenziata delle tecnologie e dei loro usi.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Futuro Primitivo e altri saggi"
"Post-umanesimo e definizione di ""umano""","Critica alla definizione tradizionale di ""Umano"", costruita storicamente escludendo l'alterità. La soggettività post-umana si definisce non attraverso un'essenza, ma attraverso relazioni e divenire.",Rosi Braidotti,Materialismo radicale. Itinerari etici per cyborg e cattive ragazze,,"Meltemi, 2019",2.2 Materialità Digitale,"### Post-umanesimo e definizione di ""umano""<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** [[Rosi Braidotti]]<br><br>**Concetti Chiave:** Post-umanesimo, Umanesimo, Alterità, Divenire<br><br>La critica a una definizione di ""umano"" che ci elevi ""a qualcosa di superiore"" è centrale nella critica post-umanista di Rosi Braidotti all'Umanesimo tradizionale. La sua proposta di una soggettività nomade cerca di definire il soggetto non attraverso un'essenza stabile, ma attraverso le relazioni e il divenire.<br><br>> *La politica affermativa si basa sulla convinzione che il soggetto è un'entità complessa e stratificata, un assemblaggio di forze e desideri. Non è una questione di identità, ma di divenire.*<br><br>**Fonte:** Materialismo radicale"
Confine Umano/Artificiale e memoria,"Il dilemma sul confine labile tra umano e artificiale, esplorando la memoria e l'empatia come ultimi, fragili criteri distintivi.",Philip K. Dick,Il cacciatore di androidi (Do Androids Dream of Electric Sheep?),,"Fanucci, 2000",2.2 Materialità Digitale,"### Confine Umano/Artificiale e memoria<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** [[Philip K. Dick]]<br><br>**Concetti Chiave:** Umano/Artificiale, Memoria, Empatia<br><br>Il dilemma sulla memoria, l'empatia e il confine labile tra umano e artificiale è il tema portante del romanzo di Philip K. Dick che ha ispirato Blade Runner, dove la capacità di provare empatia è l'ultimo, fragile criterio per distinguere gli umani dagli androidi replicanti.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Il cacciatore di androidi"
Il Cyborg come figura politica,"Il Cyborg non è un ibrido da temere, ma una figura politicamente potente che sfida le dicotomie fondanti dell'Occidente (umano/macchina, fisico/non-fisico), rendendo obsolete le domande su un'""essenza"" umana.",Donna J. Haraway,Manifesto Cyborg (in Le promesse dei mostri),,"Feltrinelli, 1995",2.2 Materialità Digitale,"### Il Cyborg come figura politica<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** [[Donna J. Haraway]]<br><br>**Concetti Chiave:** Cyborg, Dualismo, Politica, Post-umanesimo<br><br>La figura del Cyborg di Donna Haraway è la risposta più diretta alla dissoluzione del confine tra umano e macchina. Per Haraway, il cyborg non è un ibrido da temere, ma una figura ironica e politicamente potente che sfida le dicotomie fondanti dell'Occidente.<br><br>> *Un cyborg è un organismo cibernetico, un ibrido di macchina e organismo, una creatura di realtà sociale e anche di finzione.*<br><br>**Fonte:** Manifesto Cyborg"
Relazioni con l'artificiale e intimità,"La nostra relazione con robot sociali e oggetti digitali non è una questione tecnica, ma ridefinisce l'intimità, la socialità e il concetto stesso di relazione umana.",Sherry Turkle,Insieme ma soli: Perché ci aspettiamo di più dalla tecnologia e meno gli uni dagli altri,,"Codice Edizioni, 2012",2.2 Materialità Digitale,"### Relazioni con l'artificiale e intimità<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** [[Sherry Turkle]]<br><br>**Concetti Chiave:** Robot Sociali, Intimità, Relazione, Tecnologia<br><br>L'empatia verso le macchine e le nostre interazioni con l'artificiale sono state studiate da Sherry Turkle. Lei analizza come la nostra relazione con robot sociali e oggetti digitali non sia una questione puramente tecnica, ma ridefinisca la nostra intimità e socialità.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Insieme ma soli"
Tecnologia come apparato intra-agente,"La tecnologia non è un ""oggetto"" passivo, ma un ""apparato"" materiale-discorsivo che partecipa attivamente alla produzione dei fenomeni, co-costituendo sia il soggetto che l'oggetto.",Karen Barad,Meeting the Universe Halfway,139-170,,2.2 Materialità Digitale,"### Tecnologia come apparato intra-agente<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Tecnologia, Apparato, Intra-azione, Co-costruzione<br><br>La tecnologia non è un oggetto passivo, ma un ""apparato"" materiale-discorsivo che partecipa attivamente alla produzione dei fenomeni. Una macchina o un'intelligenza artificiale non sono strumenti inerti, ma co-agenti nell'intra-azione che materializza la realtà.<br><br>> **Nota:** Riferimento concettuale, non citazione diretta.<br><br>**Fonte:** Meeting the Universe Halfway, pp. 139-170"
Suono come fenomeno materiale-discorsivo,"Un gesto che, attraverso un apparato tecnologico (sensori, software), produce un'onda sonora tattile, illustra l'intra-azione di Barad, in cui il fenomeno emerge dall'intero assemblaggio.",Karen Barad,Meeting the Universe Halfway,114,,2.2 Materialità Digitale,"### Suono come fenomeno materiale-discorsivo<br><br>**Sezione:** [[Materialità Digitale]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Suono, Tattilità, Intra-azione, Apparato<br><br>Un gesto che, tramite un apparato tecnologico, produce un'onda sonora tattile, è un esempio del concetto di intra-azione, in cui il fenomeno emerge dall'interazione dell'intero assemblaggio e non da un singolo agente.<br><br>> **Nota:** Riferimento concettuale, non citazione diretta.<br><br>**Fonte:** Meeting the Universe Halfway, p. 114"
