Titolo_Nota_Atomica,Testo_Nota,Autore_Citato,Opera_Citata,Pagine_Riferimento,Edizione_Riferimento,Sezione_Riferimento,Nota_Markdown
Proceduralità nell'arte,"La proceduralità indica che il prodotto finale di un'opera è visto come il termine di un processo; il valore non risiede più solo nel prodotto, ma nel meccanismo più ampio che include processi e stratificazioni.",-,-,-,-,1.1 La Diffrazione,"### Proceduralità nell'arte<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** -<br><br>**Concetti Chiave:** Proceduralità, Arte Contemporanea, Processo<br><br>Per proceduralità si intende che dalla frattura epistemologica dell'arte è nato uno nuovo schema percettivo di fruizione di un opera. Infatti il prodotto finale è visto esclusivamente come termine di un processo, di un percorso che ha portato l'artista ad un determinato risultato.<br><br>> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.<br><br>**Fonte:** -"
Arte come prodotto capitalistico,"Critica al sistema economico dell'arte che trasforma la produzione artistica in un prodotto commerciabile, seguendo la logica dello ""spirito del capitalismo"".",Max Weber & Mark Fisher,L'etica protestante e lo spirito del capitalismo / Realismo capitalista,,,1.1 La Diffrazione,"### Arte come prodotto capitalistico<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** [[Max Weber]], [[Mark Fisher]]<br><br>**Concetti Chiave:** Mercificazione dell'arte, Realismo Capitalista, Spirito del Capitalismo<br><br>Questa critica si lega all'analisi di M. Fisher sul realismo capitalista, ma affonda le sue radici nello ""spirito del capitalismo"" descritto da Max Weber: una logica che trasforma il lavoro e la produzione (anche artistica) in una vocazione ascetica finalizzata al profitto.<br><br>> *Il Puritano volle essere un professionista, noi dobbiamo esserlo.*<br><br>**Fonte:** L'etica protestante e lo spirito del capitalismo"
Modelli reversivi e capitalismo,"I ""modelli reversivi"" sono pratiche socio-culturali che hanno tentato di ostacolare il capitalismo (es. Veganismo, Writing, No Global), ma che sono stati assorbiti e trasformati in formato vendita dal sistema stesso.",-,-,-,-,1.1 La Diffrazione,"### Modelli reversivi e capitalismo<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** -<br><br>**Concetti Chiave:** Modelli Reversivi, Capitalismo, Assorbimento<br><br>Per ""modelli reversivi"" si intendono tutte quelle pratiche socio-culturali che in qualche modo hanno provato ad ostacolare l'avanzamento del sistema capitalistico evidenziandone i difetti. Ad esempio si possono citare movimenti come quello Vegan, quello Hip Hop attraverso il Writing o i movimenti no global di inzio millennio.<br><br>> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.<br><br>**Fonte:** -"
Ipermodernità e iper-individualismo,"L'analisi di una società basata sull' ""iperindividualismo"", il consumo e l'effimero è centrale nel pensiero di Gilles Lipovetsky.",Gilles Lipovetsky & Sébastien Charles,Les Temps hypermodernes,55-65,"Grasset, 2004",1.1 La Diffrazione,"### Ipermodernità e iper-individualismo<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** [[Gilles Lipovetsky]], [[Sébastien Charles]]<br><br>**Concetti Chiave:** Ipermodernità, Iperindividualismo, Consumo, Soggettività<br><br>L'analisi di una società basata sull' ""iperindividualismo"", il consumo e l'effimero è centrale nel pensiero di Gilles Lipovetsky.<br><br>> *L’individu hypermoderne est celui qui est de moins en moins dirigé par les grandes institutions collectives et de plus en plus «autogéré» sur la base de choix à la carte.*<br><br>**Fonte:** Les Temps hypermodernes, pp. 55-65"
Infocrazia e sorveglianza seduttiva,"Byung-Chul Han definisce ""infocrazia"" il regime di potere basato sull'informazione e sui dati, in cui la sorveglianza diventa seduttiva, spingendo i soggetti a un'auto-esposizione volontaria.",Byung-Chul Han,Infocrazia. Le nostre vite manipolate dalla rete,5-11,"Einaudi, 2023",1.1 La Diffrazione,"### Infocrazia e sorveglianza seduttiva<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** [[Byung-Chul Han]]<br><br>**Concetti Chiave:** Infocrazia, Sorveglianza, Potere, Neoliberismo<br><br>Byung-Chul Han definisce 'infocrazia' il regime di potere basato sull'informazione e sui dati, in cui la sorveglianza non è più solo repressiva (come nel panopticon di Foucault), ma diventa seduttiva, spingendo i soggetti a un'auto-esposizione volontaria.<br><br>> *Il potere intelligente non opera frontalmente, con la repressione, ma in modo seduttivo, accondiscendente. Non si impone mettendo a tacere, ma spingendo a parlare. Non reprime la partecipazione, la esige.*<br><br>**Fonte:** Infocrazia. Le nostre vite manipolate dalla rete, pp. 5-11"
Potere disciplinare e sorveglianza,"Un sistema di sorveglianza pervasivo che agisce attraverso l'osservazione continua e la normalizzazione dei comportamenti, applicazione del concetto di ""potere disciplinare"" di Foucault.",Michel Foucault,Sorvegliare e punire: Nascita della prigione,195-227,"Einaudi, 1976",1.1 La Diffrazione,"### Potere disciplinare e sorveglianza<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** [[Michel Foucault]]<br><br>**Concetti Chiave:** Potere Disciplinare, Sorveglianza, Panopticon<br><br>La descrizione di un sistema di sorveglianza pervasivo che non agisce solo con la forza, ma attraverso l'osservazione continua e la normalizzazione dei comportamenti, è un'applicazione diretta del concetto di ""potere disciplinare"" di Foucault.<br><br>> *Fare in modo che la sorveglianza sia permanente nei suoi effetti, anche se è discontinua nella sua azione; che la perfezione del potere tenda a rendere inutile l'attualità del suo esercizio*.<br><br>**Fonte:** Sorvegliare e punire: Nascita della prigione, pp. 195-227"
Capitalismo come museo post-storico,"Il realismo capitalista sussume e consuma tutta la storia pregressa, assegnando un valore monetario a qualsiasi oggetto culturale e privandolo della sua vitalità originaria.",Mark Fisher,Realismo capitalista,30,"NERO, Roma 2017",1.1 La Diffrazione,"### Capitalismo come museo post-storico<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** [[Mark Fisher]]<br><br>**Concetti Chiave:** Realismo Capitalista, Mercificazione, Storia<br><br>Il potere del realismo capitalista deriva dal modo in cui sussume e consuma tutta la storia pregressa, assegnando un valore monetario a qualsiasi oggetto culturale, si tratti di icone religiose, pornografia, o Il Capitale di Marx.<br><br>> *Provate a passeggiare per il British Museum: vedrete oggetti privati di ogni vitalità riassemblati come sul ponte di qualche astronave alla Predator, e potrete cosi godervi una potente rappresentazione di questo processo*.<br><br>**Fonte:** Realismo capitalista, p. 30"
De-umanizzazione e sfruttamento,"Analisi del meccanismo di de-umanizzazione (o de-animalizzazione) come presupposto per lo sfruttamento delle ""risorse"", siano esse viventi o non viventi.",Massimo Filippi,Questioni di specie,27-34,"elèuthera, 2017",1.1 La Diffrazione,"### De-umanizzazione e sfruttamento<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** [[Massimo Filippi]]<br><br>**Concetti Chiave:** De-umanizzazione, Sfruttamento, Antispecismo<br><br>L'analisi del meccanismo di de-umanizzazione come presupposto per lo sfruttamento è un tema centrale del pensiero antispecista. Questo permette di ridurre l'impatto morale dello sfruttamento di ciò che viene rappresentato come ""risorsa"".<br><br>> *Per poter essere sfruttato senza remore, l'animale deve essere degradato a cosa, a macchina, deve essere spogliato di qualsiasi possibile soggettività*.<br><br>**Fonte:** Questioni di specie, pp. 27-34"
Complicità nel sistema di oppressione,"Riconoscimento che, sebbene il capitalismo sia una struttura impersonale, non esisterebbe senza la nostra cooperazione e complicità a livello del desiderio.",Mark Fisher,Realismo capitalista,47-48,"NERO, Roma 2017",1.1 La Diffrazione,"### Complicità nel sistema di oppressione<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** [[Mark Fisher]]<br><br>**Concetti Chiave:** Complicità, Capitalismo, Desiderio, Oppressione<br><br>Rivendicare un'azione politica significa accettare di essere finiti nel tritacarne del Capitale a livello del desiderio. Dobbiamo tenere a mente che il capitalismo è una struttura impersonale, ma che non esisterebbe senza la nostra cooperazione.<br><br>> *Quello che dobbiamo tenere a mente è sia che il capitalismo è una struttura impersonale e iperastratta, sia che questa struttura non esisterebbe senza la nostra cooperazione*.<br><br>**Fonte:** Realismo capitalista, pp. 47-48"
Simpoiesi e Making Kin,"Il concetto di ""simpoiesi"" (creare-con) e la pratica etico-politica del ""making kin"" (generare parentele) come vie per rompere l'individualismo e riformare i legami.",Donna J. Haraway,Chthulucene: Sopravvivere su un pianeta infetto,89-150,"NERO, Roma 2019",1.1 La Diffrazione,"### Simpoiesi e Making Kin<br><br>**Sezione:** [[La Diffrazione]]<br>**Autori:** [[Donna J. Haraway]]<br><br>**Concetti Chiave:** Simpoiesi, Making Kin, Individualismo<br><br>La ""simpoiesi"" (creare-con) è un processo collettivo. Il ""making kin"" (generare parentele) è la pratica etico-politica che ne consegue, utile a rompere l'individualismo cosmico e a riformare il sistema ""familiare"".<br><br>> *Simpoiesi è una parola adatta per indicare i sistemi complessi, dinamici, reattivi, situati... Non possiamo fare da soli. Ci facciamo-con a vicenda o non ci facciamo affatto*.<br><br>**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, pp. 89-150"
