Titolo_Nota_Atomica,Testo_Nota,Autore_Citato,Opera_Citata,Pagine_Riferimento,Edizione_Riferimento,Sezione_Riferimento,Nota_Markdown
Intra-azione e taglio agenziale,"I fenomeni sono l'inseparabilità ontologica di agenzie intra-agenti. L'intra-azione rappresenta un profondo cambiamento concettuale rispetto all'interazione, poiché è attraverso di essa che i confini e le proprietà (il ""taglio agenziale"" tra soggetto e oggetto) vengono determinati.",Karen Barad,Meeting the Universe Halfway,139,,1.4 L'entanglement e l'intra-azione,"### Intra-azione e taglio agenziale<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Intra-azione, Entanglement, Taglio Agenziale, Ontologia<br><br>I fenomeni sono l'inseparabilità ontologica di ""agenzie"" intra-agenti. L'intra-azione (in contrasto con l'interazione) rappresenta un profondo cambiamento concettuale. È attraverso specifiche intra-azioni agenziali che i confini e le proprietà dei componenti dei fenomeni diventano determinati, effettuando un taglio agenziale tra ""soggetto"" e ""oggetto"".<br><br>> *È attraverso specifiche intra-azioni agenziali che i confini e le proprietà dei componenti dei fenomeni diventano determinati e che particolari concetti (cioè particolari articolazioni materiali del mondo) diventano significativi.*<br><br>**Fonte:** Meeting the Universe Halfway, p. 139"
Approccio interdisciplinare non gerarchico,"Rifiuto degli approcci che sfruttano unilateralmente il valore epistemologico delle scienze naturali sulle scienze umane (o viceversa), in favore di un dialogo tra le comprensioni generate da pratiche (inter)disciplinari differenti.",Karen Barad,Meeting the Universe Halfway,92,,1.4 L'entanglement e l'intra-azione,"### Approccio interdisciplinare non gerarchico<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Interdisciplinarità, Epistemologia, Scienze Naturali, Scienze Umane<br><br>A differenza degli approcci che gerarchizzano il sapere, sfruttando il presunto maggior valore epistemologico delle scienze naturali sulle umane (o viceversa), l'approccio qui proposto colloca le comprensioni generate da pratiche differenti in dialogo tra loro.<br><br>> **Nota:** Riferimento alla metodologia di Barad, non a una citazione diretta.<br><br>**Fonte:** Meeting the Universe Halfway, p. 92"
Effetti sociali del realismo capitalista,"L'elenco delle patologie sociali contemporanee (iper-individualismo, precarietà, disuguaglianza) come effetti di un sistema pervasivo.",Mark Fisher,Realismo capitalista,,"NERO, Roma 2017",1.4 L'entanglement e l'intra-azione,"### Effetti sociali del realismo capitalista<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[Mark Fisher]]<br><br>**Concetti Chiave:** Realismo Capitalista, Iper-individualismo, Precarietà<br><br>La tipologia di socialità iperindividualista è strettamente connessa alle scelte antropologiche portate avanti dalla nascita del capitalismo. L'elenco delle patologie sociali contemporanee (iper-individualismo, precarietà, disuguaglianza) è un tema centrale nell'analisi di Fisher.<br><br>> *Il realismo capitalista [...] è più simile a un’atmosfera pervasiva, che condiziona non solo la produzione culturale ma anche il lavoro e l’educazione, e che agisce come una sorta di barriera invisibile che limita il pensiero e l’azione.*<br><br>**Fonte:** Realismo capitalista"
Criminalità organizzata e migrazioni,"Analisi del legame tra criminalità organizzata (Agromafie), sfruttamento della manodopera migrante (caporalato) e il controllo dei flussi migratori via mare.","Legambiente, Fabrizio Gatti","Rapporto Agromafie / Bilal. Viaggiare, lavorare, morire da clandestini",,,1.4 L'entanglement e l'intra-azione,"### Criminalità organizzata e migrazioni<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[Legambiente]], [[Fabrizio Gatti]]<br><br>**Concetti Chiave:** Agromafie, Caporalato, Migrazioni<br><br>Il legame tra criminalità organizzata, sfruttamento della manodopera migrante e controllo dei flussi migratori è ampiamente documentato, in particolare nel fenomeno delle ""Agromafie"" basato sul caporalato.<br><br>> **Nota:** I libri non sono stati forniti, la citazione testuale non può essere inserita.<br><br>**Fonte:** Rapporto Agromafie / Bilal. Viaggiare, lavorare, morire da clandestini"
"Uso politico della ""crisi migratoria""","La narrazione degli ""sbarchi"" viene sistematicamente impiegata dalle destre sovraniste per generare paura, costruire un nemico esterno e mobilitare il consenso elettorale.","Matteo Villa, Donatella Di Cesare","Un'epidemia di storie: Fake news, media e immigrazione / Stranieri residenti. Una filosofia della migrazione",,,1.4 L'entanglement e l'intra-azione,"### Uso politico della ""crisi migratoria""<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[Matteo Villa]], [[Donatella Di Cesare]]<br><br>**Concetti Chiave:** Crisi Migratoria, Populismo, Sovranismo<br><br>L'utilizzo politico della ""crisi migratoria"" è una strategia centrale delle destre sovraniste in Europa. La narrazione degli ""sbarchi"" viene usata per generare paura e mobilitare il consenso, spesso tramite disinformazione.<br><br>> **Nota:** I libri non sono stati forniti, la citazione testuale non può essere inserita.<br><br>**Fonte:** Un'epidemia di storie / Stranieri residenti"
Accordi Italia-Libia e centri di detenzione,Gli accordi internazionali (es. Memorandum Italia-Libia 2017) supportano la Guardia Costiera libica nel riportare i migranti in centri di detenzione dove subiscono violenze sistematiche.,"Amnesty International, Nello Scavo","Rapporto ""Libia: tra la vita e la morte"" / Libia. L'inferno dei migranti, il grande affare dell'Italia",,,1.4 L'entanglement e l'intra-azione,"### Accordi Italia-Libia e centri di detenzione<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[Amnesty International]], [[Nello Scavo]]<br><br>**Concetti Chiave:** Accordi Italia-Libia, Centri di Detenzione, Diritti Umani<br><br>Accordi internazionali come il Memorandum Italia-Libia finanziano la Guardia Costiera libica per intercettare i migranti. I migranti vengono poi trasferiti in centri di detenzione dove subiscono torture e violenze sistematiche.<br><br>> **Nota:** Le fonti non sono state fornite, la citazione testuale non può essere inserita.<br><br>**Fonte:** Rapporto Amnesty International / Libia. L'inferno dei migranti"
"""Guerra al Terrore"" e riarmo globale","La retorica della ""Guerra al Terrore"" inaugurata dopo l'11 settembre ha giustificato un significativo e prolungato aumento delle spese militari a livello globale.",SIPRI (Stockholm International Peace Research Institute),"SIPRI Yearbook: Armaments, Disarmament and International Security",,,1.4 L'entanglement e l'intra-azione,"### ""Guerra al Terrore"" e riarmo globale<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[SIPRI]]<br><br>**Concetti Chiave:** Guerra al Terrore, Spesa Militare, Riarmo<br><br>La retorica della ""Guerra al Terrore"" post 11 settembre ha giustificato un significativo aumento delle spese militari globali, legittimando interventi militari e una generale corsa al riarmo.<br><br>> **Nota:** La fonte non è stata fornita, la citazione testuale non può essere inserita.<br><br>**Fonte:** SIPRI Yearbook"
L'esuberanza creativa della materia,La materia possiede un'esuberante creatività e un'agenzia che non finisce mai e non può essere contenuta. L'intra-azione riformula la causalità come continua riconfigurazione del reale e del possibile.,Karen Barad,Meeting the Universe Halfway,177,,1.4 L'entanglement e l'intra-azione,"### L'esuberanza creativa della materia<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Materia, Agency, Causalità, Intra-azione<br><br>L'esuberanza del mondo, la sua esuberante creatività non può mai essere contenuta o sospesa. L'agenzia non finisce mai; non può mai ""esaurirsi"". La nozione di intra-azioni riformula le nozioni tradizionali di causalità e di agenzia in una continua riconfigurazione del reale e del possibile.<br><br>> *L'esuberanza del mondo, la sua esuberante creatività, non può mai essere contenuta o sospesa. L'agency non finisce mai; non può mai 'esaurirsi'.*<br><br>**Fonte:** Meeting the Universe Halfway, p. 177"
Onto-epistemologia come distinzione concettuale,"L'entanglement riscrive l'ontologia (lo studio dell'essere), mentre l'intra-azione riscrive l'epistemologia (lo studio del conoscere). Barad unisce i due campi nel concetto di ""onto-epistemologia"".",Karen Barad,Meeting the Universe Halfway,185,,1.4 L'entanglement e l'intra-azione,"### Onto-epistemologia come distinzione concettuale<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Ontologia, Epistemologia, Onto-epistemologia, Entanglement<br><br>L'entanglement riscrive l'ontologia, l'intra-azione l'epistemologia. Questa distinzione concettuale si basa sulla teoria di Barad, che unisce i due campi nel concetto di ""onto-epistemologia"".<br><br>> *Ciò di cui abbiamo bisogno è qualcosa come un'etico-onto-epistemologia, un apprezzamento dell'intreccio tra etica, sapere ed essere.*<br><br>**Fonte:** Meeting the Universe Halfway, p. 185"
Responsabilità per i tagli agenziali,"L'agenzia è ""fare"" o ""essere"" nella sua intra-attività. Siamo responsabili dei ""tagli"" che contribuiamo a mettere in atto non perché li scegliamo, ma perché siamo parte agenziale del divenire materiale dell'universo.",Karen Barad,Meeting the Universe Halfway,178,,1.4 L'entanglement e l'intra-azione,"### Responsabilità per i tagli agenziali<br><br>**Sezione:** [[L'entanglement e l'intra-azione]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Agency, Taglio Agenziale, Responsabilità, Divenire<br><br>L'agenzia è 'fare' o 'essere' nella sua intra-attività. L'oggettività significa essere responsabili dei segni sui corpi, cioè delle materializzazioni specifiche. Siamo responsabili dei tagli che contribuiamo a mettere in atto perché siamo una parte agenziale del divenire materiale dell'universo.<br><br>> *Siamo responsabili dei tagli che contribuiamo a mettere in atto non perché li scegliamo noi [...], ma perché siamo una parte agenziale del divenire materiale dell'universo.*<br><br>**Fonte:** Meeting the Universe Halfway, p. 178"
