Titolo_Nota_Atomica,Testo_Nota,Autore_Citato,Opera_Citata,Pagine_Riferimento,Edizione_Riferimento,Sezione_Riferimento,Nota_Markdown
"Temporalità, spazialità e intra-azioni iterative","La temporalità e la spazialità non sono contenitori fissi, ma vengono prodotte e riconfigurate iterativamente attraverso le intra-azioni, che creano confini materiali-discorsivi e le loro esclusioni costitutive.",Karen Barad,Meeting the Universe Halfway,179,"Duke University Press, 2007",1.3 L'indeterminazione,"### Temporalità, spazialità e intra-azioni iterative<br><br>**Sezione:** [[L'indeterminazione]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Temporalità, Spazialità, Intra-azione, Indeterminazione<br><br>Le intra-azioni iterative sono le dinamiche attraverso le quali la temporalità e la spazialità vengono prodotte e riconfigurate iterativamente nella materializzazione dei fenomeni. L'indeterminazione non è mai risolta una volta per tutte; le esclusioni costituiscono uno spazio aperto di agenzia.<br><br>> *Le esclusioni sono elementi costitutivi dell'interazione dinamica (intra-gioco) di determinatezza e indeterminazione.*<br><br>**Fonte:** Meeting the Universe Halfway, p. 179"
Principio di indeterminazione di Heisenberg,"L'impossibilità di misurare contemporaneamente moto e posizione di una particella, suggerendo che la materia non può essere fisicamente predeterminata.","Karen Barad, Werner Heisenberg",Meeting the Universe Halfway,"cap. 3, p. 116","Duke University Press, 2007",1.3 L'indeterminazione,"### Principio di indeterminazione di Heisenberg<br><br>**Sezione:** [[L'indeterminazione]]<br>**Autori:** [[Karen Barad]], [[Werner Heisenberg]]<br><br>**Concetti Chiave:** Indeterminazione, Fisica Quantistica<br><br>Il concetto di indeterminazione della materia emerge dall'impossibilità di misurare contemporaneamente moto e posizione della particella. Questo suggerisce che la materia non può essere fisicamente predeterminata.<br><br>> **Nota:** Riferimento alla discussione di Barad sul principio di indeterminazione, non a una citazione diretta.<br><br>**Fonte:** Meeting the Universe Halfway, cap. 3, p. 116"
Incertezza come metodo (Bohr),"L'approccio di Niels Bohr, che esprimeva le sue opinioni ""come una persona che brancola continuamente e mai come una persona che crede di essere in possesso di una verità definitiva"".",Karen Barad (citando Einstein su Bohr),Meeting the Universe Halfway,121,"Duke University Press, 2007",1.3 L'indeterminazione,"### Incertezza come metodo (Bohr)<br><br>**Sezione:** [[L'indeterminazione]]<br>**Autori:** [[Niels Bohr]], [[Albert Einstein]]<br><br>**Concetti Chiave:** Incertezza, Verità, Metodologia<br><br>Un approccio alla conoscenza che valorizza il dubbio e l'incertezza rispetto al possesso di una verità definitiva.<br><br>> *Einstein una volta ha osservato di Bohr: 'Esprime le sue opinioni come una persona che brancola continuamente e mai come una persona che crede di essere in possesso di una verità definitiva'*.<br><br>**Fonte:** Meeting the Universe Halfway, p. 121"
Rizoma come modello non gerarchico,"Il ""rizoma"" è il concetto con cui Deleuze e Guattari descrivono un modello di pensiero e di realtà non gerarchico, acentrico e basato su connessioni multiple e imprevedibili.",Gilles Deleuze & Félix Guattari,Mille Piani,15-40,"Orthotes, Napoli-Salerno 2017",1.3 L'indeterminazione,"### Rizoma come modello non gerarchico<br><br>**Sezione:** [[L'indeterminazione]]<br>**Autori:** [[Gilles Deleuze]], [[Félix Guattari]]<br><br>**Concetti Chiave:** Rizoma, Pensiero Arborescente, Molteplicità<br><br>Il ""rizoma"" è un modello di pensiero e di realtà non gerarchico, acentrico e basato su connessioni multiple e imprevedibili, in opposizione al modello lineare e gerarchico dell'""albero-radice"".<br><br>> *Un rizoma non comincia e non finisce, è sempre nel mezzo, tra le cose, inter-essere, intermezzo.*<br><br>**Fonte:** Mille Piani, pp. 15-40"
Infocrazia come regime di potere,"Il termine ""infocrazia"" descrive il regime di potere contemporaneo basato sull'informazione e i Big Data, che opera attraverso la seduzione e l'auto-esposizione volontaria.",Byung-Chul Han,Infocrazia. Le nostre vite manipolate dalla rete,5-11,"Einaudi, 2023",1.3 L'indeterminazione,"### Infocrazia come regime di potere<br><br>**Sezione:** [[L'indeterminazione]]<br>**Autori:** [[Byung-Chul Han]]<br><br>**Concetti Chiave:** Infocrazia, Potere, Big Data, Sorveglianza<br><br>Il termine ""infocrazia"" descrive il regime di potere contemporaneo che non si fonda sulla disciplina ma sull'informazione. A differenza del potere disciplinare, l'infocrazia opera tramite la seduzione, spingendo i soggetti a un'auto-esposizione volontaria.<br><br>> *L’infocrazia, come nuova forma di potere, si serve della libertà e della comunicazione, invece di reprimerle*.<br><br>**Fonte:** Infocrazia. Le nostre vite manipolate dalla rete, pp. 5-11"
Plurale Maiestatis e iper-individualismo,"L' ""incapacità di pensarci in un plurale maiestatis"" descrive la difficoltà della società iper-individualista di concepire il collettivo come un ""noi"" sovrano e potente.",-,-,,,1.3 L'indeterminazione,"### Plurale Maiestatis e iper-individualismo<br><br>**Sezione:** [[L'indeterminazione]]<br>**Autori:** -<br><br>**Concetti Chiave:** Plurale Maiestatis, Collettività, Iper-individualismo<br><br>Il termine ""plurale maiestatis"" viene usato in modo critico per indicare la difficoltà della società iper-individualista di concepire il collettivo come un ""noi"" potente, non l'autorità di un singolo, ma la potenziale maestà di una comunità coesa.<br><br>> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.<br><br>**Fonte:** -"
Precarietà come condizione esistenziale,"La ""precarietà"" non descrive solo l'instabilità del lavoro, ma una condizione esistenziale pervasiva che impedisce la pianificazione a lungo termine, specialmente per le generazioni più giovani.","Guy Standing, Annalisa Murgia & Emilia Sarno",The Precariat: The New Dangerous Class / Journal of Education and Work,,,1.3 L'indeterminazione,"### Precarietà come condizione esistenziale<br><br>**Sezione:** [[L'indeterminazione]]<br>**Autori:** [[Guy Standing]], [[Annalisa Murgia]], [[Emilia Sarno]]<br><br>**Concetti Chiave:** Precarietà, Generazioni, Stabilità<br><br>La condizione di ""indeterminazione"" è analizzata in sociologia come ""precarietà"", una condizione esistenziale che impedisce la pianificazione a lungo termine. Questa condizione caratterizza una nuova classe globale, il ""precariato"".<br><br>> **Nota:** I libri non sono stati forniti, la citazione testuale non può essere inserita.<br><br>**Fonte:** The Precariat / Journal of Education and Work"
Corpo Espanso e Chimera tecnologica,"Il concetto di ""Corpo Espanso"" descrive come le estensioni tecnologiche riconfigurano i confini del corpo e della soggettività, creando nuove soggettività ibride (""Chimere"").",Marco Mancuso,Chimera. Il Corpo Espanso per una nuova ecosofia dell'arte,,"Produzioni Nero, 2023",1.3 L'indeterminazione,"### Corpo Espanso e Chimera tecnologica<br><br>**Sezione:** [[L'indeterminazione]]<br>**Autori:** [[Marco Mancuso]]<br><br>**Concetti Chiave:** Corpo Espanso, Tecnologia, Soggettività Ibrida<br><br>Il concetto di ""Corpo Espanso"" descrive come le protesi e le estensioni tecnologiche riconfigurino i confini del corpo e della soggettività. La ""Chimera"" rappresenta le nuove soggettività ibride che emergono, rendendo la persona ""indeterminata"".<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Chimera. Il Corpo Espanso per una nuova ecosofia dell'arte"
La potenzialità del vuoto,"L'elettrodinamica quantistica descrive il ""vuoto"" come uno stato di potenzialità ribollente, dove tutto ciò che può esistere esiste in qualche forma potenziale. Lo spostamento di Lamb è la conferma empirica di questa potenzialità.",Karen Barad,Meeting the Universe Halfway,92,"Duke University Press, 2007",1.3 L'indeterminazione,"### La potenzialità del vuoto<br><br>**Sezione:** [[L'indeterminazione]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Vuoto Quantistico, Potenzialità, Indeterminazione<br><br>Secondo l'elettrodinamica quantistica, il ""vuoto"" è uno stato in cui tutto ciò che può esistere esiste in qualche forma potenziale. Lo spostamento di Lamb è la conferma empirica di questa ""potenzialità ribollente"".<br><br>> *Abbiamo infatti una conferma empirica di questa potenzialità ribollente! Piccoli dettagli possono fare profonde differenze.*<br><br>**Fonte:** Meeting the Universe Halfway, p. 92"
Materialità come assemblaggio,"La definizione di materialità come ""assemblaggio"" unisce l'ontologia dell'intra-azione di Barad con la teoria politica degli assemblaggi di Jane Bennett. Per entrambe, l'agency non preesiste all'incontro, ma emerge dalla relazione stessa.",Jane Bennett & Karen Barad,Vibrant Matter / Meeting the Universe Halfway,20-38,,1.3 L'indeterminazione,"### Materialità come assemblaggio<br><br>**Sezione:** [[La Materia]]<br>**Autori:** [[Jane Bennett]], [[Karen Barad]]<br><br>**Concetti Chiave:** Assemblaggio, Intra-azione, Agency<br><br>La definizione di materialità come 'assemblaggio' unisce l'ontologia dell'intra-azione di Barad con la teoria politica degli assemblaggi di Jane Bennett. Per entrambe, l'agency non preesiste all'incontro, ma emerge dalla relazione stessa.<br><br>> *An assemblage is a concatenation of trans-species, trans-subjective actants whose efficacy derives from their contingent connections. [...] Agency is distributed across a variety of materialities.*<br><br>**Fonte:** Vibrant Matter, pp. 20-38 / Meeting the Universe Halfway"
