Titolo_Nota_Atomica,Testo_Nota,Autore_Citato,Opera_Citata,Pagine_Riferimento,Edizione_Riferimento,Sezione_Riferimento,Nota_Markdown
Genealogia della normatività capitalista-infocratica,"La normatività contemporanea è il prodotto di una lunga genealogia storica che intreccia la nascita della società capitalistica (Weber, Fisher) con l'emergere del potere infocratico (Han).","Max Weber, Mark Fisher, Byung-Chul Han",L'etica protestante / Realismo capitalista / Infocrazia,,,3.1 Rompere la normatività,"### Genealogia della normatività capitalista-infocratica<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Max Weber]], [[Mark Fisher]], [[Byung-Chul Han]]<br><br>**Concetti Chiave:** Normatività, Capitalismo, Infocrazia, Genealogia<br><br>La normatività capitalista-infocratica ha radici profonde nella nostra storicità. Si è costituita nei millenni precedenti, definendo schemi abitudinari che ancora oggi fanno parte della nostra quotidianità.<br><br>> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.<br><br>**Fonte:** L'etica protestante / Realismo capitalista / Infocrazia"
Temporalità appiattita del realismo capitalista,"La temporalità è normalizzata e appiattita su un presente produttivo che preclude l'immaginazione di un futuro diverso. Questa condizione genera una ""lenta cancellazione del futuro"".",Mark Fisher,Realismo capitalista,,"NERO, Roma 2017",3.1 Rompere la normatività,"### Temporalità appiattita del realismo capitalista<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Mark Fisher]]<br><br>**Concetti Chiave:** Crononormatività, Realismo Capitalista, Futuro, Temporalità<br><br>La ""crononormatività"" è una temporalità capitalista, dove il futuro è pianificabile e il presente performa un'efficienza dedita al capitale. Per Fisher, questa condizione genera una ""lenta cancellazione del futuro"" e una sensazione di stasi e ripetizione.<br><br>> *La lenta cancellazione del futuro è stata accompagnata da una deflazione delle aspettative.*<br><br>**Fonte:** Realismo capitalista"
Crononormatività e organizzazione della vita,"Il concetto di ""crononormatività"" è definito da Elizabeth Freeman come l'uso del tempo per organizzare le vite umane secondo tappe produttive e riproduttive considerate ""normali"", funzionali a un'economia capitalista.",Elizabeth Freeman,"Time Binds: Queer Temporalities, Queer Histories",3-4,"Duke University Press, 2010",3.1 Rompere la normatività,"### Crononormatività e organizzazione della vita<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Elizabeth Freeman]]<br><br>**Concetti Chiave:** Crononormatività, Temporalità Queer, Capitalismo, Norma<br><br>Il concetto di ""crononormatività"" è definito da Elizabeth Freeman come l'uso del tempo per organizzare le vite umane secondo tappe produttive e riproduttive considerate ""normali"", funzionali a un'economia capitalista.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Time Binds: Queer Temporalities, Queer Histories, pp. 3-4"
Anormalità come atto politico,"La proposta di ""diventare anormali"" si allinea all'etica affermativa di Rosi Braidotti, che valorizza le soggettività ""mostruose"" o non-normative come punti di forza per la creazione di nuove possibilità politiche.",Rosi Braidotti,Materialismo radicale. Itinerari etici per cyborg e cattive ragazze,70,"Meltemi, 2019",3.1 Rompere la normatività,"### Anormalità come atto politico<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Rosi Braidotti]]<br><br>**Concetti Chiave:** Anormalità, Politica affermativa, Cyborg<br><br>Essere ""anormali"" oggi è una forma di radicalismo. La proposta di 'diventare anormali' si allinea all'etica affermativa di Rosi Braidotti, che valorizza le soggettività 'mostruose' o non-normative (come il cyborg) come punti di forza per la creazione di nuove possibilità politiche.<br><br>> *La politica affermativa si basa sulla convinzione che il soggetto è un'entità complessa e stratificata, un assemblaggio di forze e desideri. Non è una questione di identità, ma di divenire.*<br><br>**Fonte:** Materialismo radicale, p. 70"
La norma come meccanismo di esclusione,"La norma costruisce il soggetto ""umano"" universale attraverso l'esclusione di ""altri"" (donne, animali, soggetti razzializzati), un punto cardine della critica postumanista di Braidotti all'umanesimo tradizionale.",Rosi Braidotti,Nomadic Theory,,"Columbia University Press, New York 2011",3.1 Rompere la normatività,"### La norma come meccanismo di esclusione<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Rosi Braidotti]]<br><br>**Concetti Chiave:** Norma, Esclusione, Umanesimo, Postumanesimo<br><br>Chi definisce cosa è normale genera una struttura ontologica escludente. La normatività costruisce l'umano come soggetto universale escludendo (s)oggettività minoritarie (non-bianchi, non-uomini, non-umani).<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Nomadic Theory"
Noia esistenziale e pensiero critico,"L'analisi della ""noia esistenziale"" come effetto politico (Fisher) si salda con la critica di Han al regime dell'informazione, che produce una ""atrofia del pensiero critico"" a causa del costante flusso di stimoli.",Mark Fisher & Byung-Chul Han,Realismo capitalista / Infocrazia,45-51,,3.1 Rompere la normatività,"### Noia esistenziale e pensiero critico<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Mark Fisher]], [[Byung-Chul Han]]<br><br>**Concetti Chiave:** Noia, Pensiero Critico, Realismo Capitalista, Infocrazia<br><br>La noia è normativa, ormai ascoltiamo l'algoritmo e non propriamente le persone che lo alimentano. L'analisi della ""noia esistenziale"" (Fisher) si salda con la critica di Han al regime dell'informazione, che produce una ""atrofia del pensiero critico"".<br><br>> *Il potere intelligente [...] non si impone mettendo a tacere, ma spingendo a parlare. Non reprime la partecipazione, la esige.* (Han)<br><br>**Fonte:** Realismo capitalista / Infocrazia, pp. 45-51"
Decolonizzazione della natura e Gaia (Latour & Barad),"Proposta di ""decolonizzazione della natura"" che unisce l'ontologia di Barad con il progetto politico di Latour. Riconoscere ""Gaia"" non come Natura pacificata, ma come un agente attivo e potente con cui siamo in conflitto.",Bruno Latour & Karen Barad,La sfida di Gaia. Il nuovo regime climatico / Meeting the Universe Halfway,74 / 170,,3.1 Rompere la normatività,"### Decolonizzazione della natura e Gaia (Latour & Barad)<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Bruno Latour]], [[Karen Barad]]<br><br>**Concetti Chiave:** Decolonizzazione, Natura, Gaia, Intra-azione<br><br>Operare una decolonizzazione della natura dove 'gaia' non è più uno sfondo entro cui le cose accadono ma bensì diventa un’attrice protagonista dell’intra-azione che si materializza attraverso le relazioni e le co-costituzioni.<br><br>> *Gaia è il nome della divinità che serve a indicare la superficie finalmente attiva che reagisce – letteralmente si mette a reagire – alle azioni degli umani.* (Latour)<br><br>**Fonte:** La sfida di Gaia, p. 74 / Meeting the Universe Halfway, p. 170"
Iperoggetti e relazionalità,"Il concetto di ""iperoggetto"" (Morton) per descrivere entità estese nello spazio e nel tempo che trascendono la percezione umana diretta (es. cambiamento climatico, capitalismo).",Timothy Morton,Iperoggetti. Filosofia ed ecologia dopo la fine del mondo,31-34,"NERO, Roma 2018",3.1 Rompere la normatività,"### Iperoggetti e relazionalità<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Timothy Morton]]<br><br>**Concetti Chiave:** Iperoggetti, Ecologia, Antropocene<br><br>Allargando lo spettro dell'intra-azione possiamo definire un iper(s)oggetto che rifiuta le dicotomie. Il concetto di ""iperoggetto"" è introdotto da Morton per descrivere entità estese nello spazio e nel tempo che trascendono la percezione umana diretta.<br><br>> *Gli iperoggetti sono «viscosi»: più cerchi di liberartene, più vi resti attaccato. [...] Sono anche «non-locali»: ciò significa che qualsiasi manifestazione «locale» di un iperoggetto non è direttamente l'iperoggetto.*<br><br>**Fonte:** Iperoggetti, pp. 31-34"
Deterritorializzazione come linea di fuga,"La strategia di ""de-territorializzazione"" (Deleuze & Guattari) descrive il movimento con cui i flussi di desiderio sfuggono ai codici repressivi, prima di essere ""ri-territorializzati"" da nuove strutture.",Gilles Deleuze & Félix Guattari,L'Anti-Edipo. Capitalismo e schizofrenia,200-205,,3.1 Rompere la normatività,"### Deterritorializzazione come linea di fuga<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Gilles Deleuze]], [[Félix Guattari]]<br><br>**Concetti Chiave:** Deterritorializzazione, Ri-territorializzazione, Flussi<br><br>Rompere non è distruggere la struttura ma de-territorializzarla. La strategia di 'de-territorializzazione' è un concetto chiave per descrivere il movimento con cui i flussi di desiderio sfuggono ai codici repressivi, prima di essere 'ri-territorializzati'.<br><br>> *La deterritorializzazione non è mai senza una ri-territorializzazione. [...] Il capitalismo è il limite di ogni società, in quanto opera una deterritorializzazione generalizzata dei flussi.*<br><br>**Fonte:** L'Anti-Edipo, pp. 200-205"
Rottura nomade e deterritorializzazione,"Rompere non è distruggere, ma de-territorializzare la struttura normativa intra-agendo nei margini, diventando altro e minoranza, secondo una politica nomade che adotta i concetti di Deleuze e Guattari.","Gilles Deleuze & Félix Guattari, Rosi Braidotti",Mille Piani / Nomadic Theory,293-376,,3.1 Rompere la normatività,"### Rottura nomade e deterritorializzazione<br><br>**Sezione:** [[Rompere la normatività]]<br>**Autori:** [[Gilles Deleuze]], [[Félix Guattari]], [[Rosi Braidotti]]<br><br>**Concetti Chiave:** Rottura, Pensiero Nomade, Deterritorializzazione, Rizoma<br><br>Rompere non è distruggere la struttura ma de-territorializzarla intra-agendo nelle pieghe della strutturazione normativa rifugiandosi nei margini, diventando altro, diventando minoranza. Queste modalità permettono di agire in una modalità rizomatica.<br><br>> *La macchina da guerra è appunto questa nomadica composizione rizomatica che si oppone all'apparato di Stato.*<br><br>**Fonte:** Mille Piani, pp. 293-376 / Nomadic Theory"
